setting_index,family,parameters,period,floquet_log_multiplier,coverage_eps_0p25,gain_eps_010,gain_eps_025
0,FHN,"I=0.450; tau=10",34.60,-30.5,1.0000,92.3,76.7
1,FHN,"I=0.624; tau=10",31.91,-30.1,1.0000,88.4,73.3
2,FHN,"I=0.798; tau=10",30.96,-29.9,1.0000,93.9,83.0
3,FHN,"I=0.972; tau=10",31.02,-29.9,1.0000,93.1,82.6
4,FHN,"I=1.146; tau=10",32.10,-30.2,1.0000,91.2,79.2
5,FHN,"I=1.320; tau=10",35.15,-30.5,1.0000,91.1,73.8
6,FHN,"I=0.450; tau=12.5",40.69,-38.5,1.0000,88.6,63.8
7,FHN,"I=0.624; tau=12.5",37.62,-37.8,1.0000,91.9,75.3
8,FHN,"I=0.798; tau=12.5",36.52,-37.3,1.0000,92.6,79.2
9,FHN,"I=0.972; tau=12.5",36.59,-37.4,1.0000,93.1,78.3
10,FHN,"I=1.146; tau=12.5",37.84,-37.8,1.0000,91.5,79.3
11,FHN,"I=1.320; tau=12.5",41.30,-38.5,1.0000,90.1,75.1
12,FHN,"I=0.450; tau=15",46.67,-46.4,1.0000,91.9,73.0
13,FHN,"I=0.624; tau=15",43.22,-45.4,1.0000,93.2,83.8
14,FHN,"I=0.798; tau=15",41.97,-44.8,1.0000,93.1,81.5
15,FHN,"I=0.972; tau=15",42.04,-44.8,1.0000,95.1,83.7
16,FHN,"I=1.146; tau=15",43.47,-45.5,1.0000,94.0,80.8
17,FHN,"I=1.320; tau=15",47.35,-46.5,1.0000,88.2,71.8
18,ML-II,"I=95; gCa=4.4",91.18,-9.65,0.9688,89.9,76.0
19,ML-II,"I=100; gCa=4.4",85.29,-9.82,1.0000,89.4,82.6
20,ML-II,"I=105; gCa=4.4",81.20,-9.86,1.0000,91.8,79.3
21,ML-II,"I=110; gCa=4.4",78.08,-9.85,1.0000,91.6,81.6
22,ML-II,"I=115; gCa=4.4",75.57,-9.82,1.0000,88.7,76.4
23,ML-II,"I=120; gCa=4.4",73.49,-9.78,1.0000,89.7,80.0
24,ML-II,"I=130; gCa=4.4",70.25,-9.68,1.0000,90.6,72.9
25,ML-II,"I=110; gCa=4.0",79.14,-8.52,1.0000,93.3,83.4
26,ML-II,"I=110; gCa=4.2",78.31,-9.20,1.0000,91.5,81.1
27,ML-II,"I=110; gCa=4.6",78.32,-10.5,1.0000,90.4,74.4
28,ML-II,"I=110; gCa=4.8",79.00,-11.2,1.0000,90.4,73.6
29,ML-I,"I=40; gCa=4.0",943.739,-95.9,1.0000,75.8,30.6
30,ML-I,"I=45; gCa=4.0",99.30,-11.9,1.0000,92.2,81.2
31,ML-I,"I=50; gCa=4.0",75.53,-9.21,1.0000,94.2,83.5
32,ML-I,"I=55; gCa=4.0",64.92,-7.94,1.0000,94.5,85.5
33,ML-I,"I=60; gCa=4.0",58.61,-7.13,1.0000,94.0,84.7
34,ML-I,"I=65; gCa=4.0",54.33,-6.54,1.0000,94.1,84.8
35,ML-I,"I=70; gCa=4.0",51.20,-6.06,1.0000,95.0,85.5
36,HR-fast,"I=1.6; zbar=1.6",18.63,-118.0,0.9948,95.1,87.8
37,HR-fast,"I=1.8; zbar=1.7",14.07,-82.3,1.0000,96.8,92.6
38,HR-fast,"I=2.0; zbar=1.8",11.79,-65.8,1.0000,97.5,93.3
39,HR-fast,"I=2.2; zbar=1.9",10.34,-55.6,1.0000,97.8,94.6
40,HR-fast,"I=2.4; zbar=2.0",9.297,-48.5,1.0000,98.5,96.1
41,HR-fast,"I=2.6; zbar=2.1",8.500,-43.2,1.0000,99.0,97.5
42,HR-fast,"I=2.8; zbar=2.2",7.865,-39.0,1.0000,99.3,98.0
43,HR-fast,"I=2.5; zbar=1.6",6.530,-30.5,1.0000,99.2,97.8
44,HR-fast,"I=2.7; zbar=1.7",6.204,-28.4,1.0000,98.9,97.4
45,HR-fast,"I=2.9; zbar=1.8",5.919,-26.6,1.0000,98.8,96.8
46,HR-fast,"I=3.2; zbar=1.9",5.440,-23.7,1.0000,98.3,95.7
47,HR-fast,"I=3.5; zbar=2.0",5.052,-21.3,1.0000,97.4,94.5
48,Stuart-Landau,"mu=0.8; beta=0.0",6.283,-10.1,1.0000,95.3,88.3
49,Stuart-Landau,"mu=0.8; beta=0.5",4.488,-7.18,1.0000,95.3,87.8
50,Stuart-Landau,"mu=0.8; beta=1.0",3.491,-5.59,1.0000,95.4,88.1
51,Stuart-Landau,"mu=0.8; beta=1.5",2.856,-4.57,1.0000,95.3,87.6
52,Stuart-Landau,"mu=0.8; beta=2.0",2.417,-3.87,1.0000,95.3,88.5
53,Stuart-Landau,"mu=1.1; beta=0.0",6.283,-13.8,1.0000,95.3,88.3
54,Stuart-Landau,"mu=1.1; beta=0.5",4.054,-8.92,1.0000,95.3,87.8
55,Stuart-Landau,"mu=1.1; beta=1.0",2.992,-6.58,1.0000,95.4,88.1
56,Stuart-Landau,"mu=1.1; beta=1.5",2.371,-5.22,1.0000,95.3,87.6
57,Stuart-Landau,"mu=1.1; beta=2.0",1.963,-4.32,1.0000,95.3,88.5
58,Stuart-Landau,"mu=1.4; beta=0.0",6.283,-17.6,1.0000,95.3,88.3
59,Stuart-Landau,"mu=1.4; beta=0.5",3.696,-10.3,1.0000,95.3,87.8
60,Stuart-Landau,"mu=1.4; beta=1.0",2.618,-7.33,1.0000,95.4,88.1
61,Stuart-Landau,"mu=1.4; beta=1.5",2.027,-5.68,1.0000,95.3,87.6
62,Stuart-Landau,"mu=1.4; beta=2.0",1.653,-4.63,1.0000,95.3,88.5
